PERMNO,date,PRC
14702,20030910,20.70000
14702,20030911,21.11000
14702,20030912,20.97000
14702,20030915,20.58000
14702,20030916,21.38000
14702,20030917,21.12000
14702,20030918,20.79000
14702,20030919,20.48000
14702,20030922,19.67000
14702,20030923,19.69000
14702,20030924,18.48200
14702,20030925,18.67000
14702,20030926,18.42100
14702,20030929,18.92000
14702,20030930,18.13000
14702,20031001,18.56000
14702,20031002,18.55000
14702,20031003,19.46000
14702,20031006,19.31000
14702,20031007,19.88000
14702,20031008,20.13000
14702,20031009,20.55300
14702,20031010,20.75000
14702,20031013,21.00000
14702,20031014,20.90000
14702,20031015,21.60000
14702,20031016,21.87000
14702,20031017,21.12000
14702,20031020,21.59900
14702,20031021,21.87000
14702,20031022,21.33000
14702,20031023,20.65000
14702,20031024,20.65000
14702,20031027,20.72000
14702,20031028,22.55000
14702,20031029,22.58000
14702,20031030,23.24000
14702,20031031,23.33000
14702,20031103,24.56000
14702,20031104,24.90000
14702,20031105,24.95000
14702,20031106,25.61000
14702,20031107,25.25000
14702,20031110,24.41000
14702,20031111,24.90000
14702,20031112,25.44000
14702,20031113,24.74000
14702,20031114,23.48000
14702,20031117,23.74000
14702,20031118,23.03000
14702,20031119,23.43000
14702,20031120,22.85000
14702,20031121,22.96000
14702,20031124,23.79000
14702,20031125,24.02000
14702,20031126,23.74000
14702,20031128,24.24000
14702,20031201,24.21000
14702,20031202,24.06000
14702,20031203,23.74000
14702,20031204,23.22000
14702,20031205,22.34000
14702,20031208,22.45000
14702,20031209,21.36000
14702,20031210,21.65000
14702,20031211,22.26000
14702,20031212,22.42000
14702,20031215,21.63000
14702,20031216,21.32000
14702,20031217,21.00000
14702,20031218,21.84000
14702,20031219,21.86000
14702,20031222,22.00000
14702,20031223,22.33000
14702,20031224,22.25000
14702,20031226,22.17000
14702,20031229,22.72000
14702,20031230,22.49000
14702,20031231,22.44000
14702,20040102,22.10000
14702,20040105,23.52000
14702,20040106,23.92000
14702,20040107,23.84000
14702,20040108,24.28000
14702,20040109,24.26000
14702,20040112,24.63000
14702,20040113,23.85000
14702,20040114,23.39000
14702,20040115,24.01000
14702,20040116,24.41000
14702,20040120,24.35000
14702,20040121,23.99000
14702,20040122,23.55000
14702,20040123,22.52000
14702,20040126,22.95000
14702,20040127,22.03000
14702,20040128,21.41000
14702,20040129,21.51000
14702,20040130,21.69000
14702,20040202,21.59000
14702,20040203,21.68000
14702,20040204,21.38000
14702,20040205,21.36000
14702,20040206,22.38000
14702,20040209,22.05000
14702,20040210,22.03000
14702,20040211,22.30000
14702,20040212,22.05000
14702,20040213,21.77000
14702,20040217,21.94000
14702,20040218,22.31000
14702,20040219,22.13000
14702,20040220,21.75000
14702,20040223,21.21000
14702,20040224,21.24000
14702,20040225,21.75000
14702,20040226,21.71000
14702,20040227,21.25000
14702,20040301,21.76000
14702,20040302,21.67000
14702,20040303,21.19000
14702,20040304,21.56000
14702,20040305,21.42000
14702,20040308,20.72000
14702,20040309,21.01000
14702,20040310,21.01000
14702,20040311,20.84000
14702,20040312,21.30000
14702,20040315,20.73000
14702,20040316,21.14000
14702,20040317,21.32000
14702,20040318,21.13000
14702,20040319,20.34000
14702,20040322,20.20000
14702,20040323,20.36000
14702,20040324,20.77000
14702,20040325,21.73000
14702,20040326,21.43000
14702,20040329,21.49000
14702,20040330,21.39000
14702,20040331,21.33000
14702,20040401,21.72000
14702,20040402,22.55000
14702,20040405,22.66000
14702,20040406,22.33000
14702,20040407,22.16000
14702,20040408,22.52000
14702,20040412,22.84000
14702,20040413,22.50000
14702,20040414,22.40000
14702,20040415,21.47000
14702,20040416,20.79900
14702,20040419,21.17000
14702,20040420,20.22000
14702,20040421,20.23000
14702,20040422,19.73000
14702,20040423,19.98000
14702,20040426,19.44000
14702,20040427,19.27000
14702,20040428,18.94000
14702,20040429,18.43000
14702,20040430,18.27000
14702,20040503,18.12000
14702,20040504,18.65000
14702,20040505,18.58000
14702,20040506,18.63000
14702,20040507,18.67000
14702,20040510,19.08900
14702,20040511,19.61000
14702,20040512,19.35000
14702,20040513,18.91000
14702,20040514,18.53900
14702,20040517,18.45000
14702,20040518,18.85000
14702,20040519,18.64000
14702,20040520,18.29000
14702,20040521,18.38000
14702,20040524,18.72000
14702,20040525,19.22000
14702,20040526,19.45000
14702,20040527,19.60000
14702,20040528,19.97000
14702,20040601,19.68000
14702,20040602,19.05000
14702,20040603,18.58000
14702,20040604,18.76000
14702,20040607,19.42000
14702,20040608,19.11000
14702,20040609,18.68000
14702,20040610,18.92000
14702,20040614,18.67000
14702,20040615,18.93000
14702,20040616,18.68000
14702,20040617,18.35000
14702,20040618,18.14000
14702,20040621,18.03000
14702,20040622,18.55000
14702,20040623,18.97000
14702,20040624,18.87000
14702,20040625,19.27000
14702,20040628,18.85000
14702,20040629,19.63000
14702,20040630,19.62000
14702,20040701,19.00000
14702,20040702,18.50000
14702,20040706,18.01000
14702,20040707,18.17000
14702,20040708,18.38000
14702,20040709,18.66000
14702,20040712,18.18000
14702,20040713,17.93000
14702,20040714,16.82000
14702,20040715,16.78000
14702,20040716,16.65000
14702,20040719,16.77000
14702,20040720,17.26000
14702,20040721,16.62000
14702,20040722,16.93000
14702,20040723,16.36000
14702,20040726,16.20000
14702,20040727,16.18000
14702,20040728,15.86000
14702,20040729,16.46000
14702,20040730,16.97000
14702,20040802,17.06000
14702,20040803,16.45000
14702,20040804,17.00000
14702,20040805,16.80000
14702,20040806,16.33000
14702,20040809,16.51000
14702,20040810,16.90000
14702,20040811,16.26000
14702,20040812,15.61000
14702,20040813,15.64000
14702,20040816,15.64000
14702,20040817,16.07000
14702,20040818,16.16000
14702,20040819,15.88000
14702,20040820,16.02000
14702,20040823,16.22000
14702,20040824,15.93000
14702,20040825,16.26000
14702,20040826,15.98000
14702,20040827,16.36000
14702,20040830,15.99000
14702,20040831,15.89000
14702,20040901,16.05000
14702,20040902,16.33000
14702,20040903,15.70000
14702,20040907,15.69000
14702,20040908,15.79000
14702,20040909,16.39000
14702,20040910,16.90000
14702,20040913,17.02000
14702,20040914,17.22000
14702,20040915,16.77000
14702,20040916,16.78000
14702,20040917,16.90000
14702,20040920,17.59000
14702,20040921,17.63000
14702,20040922,17.11000
14702,20040923,17.16000
14702,20040924,16.65000
14702,20040927,16.41000
14702,20040928,16.21000
14702,20040929,16.38000
14702,20040930,16.49000
14702,20041001,17.30000
14702,20041004,17.16000
14702,20041005,17.33000
14702,20041006,17.24000
14702,20041007,17.16000
14702,20041008,16.21000
14702,20041011,16.29000
14702,20041012,16.16000
14702,20041013,16.39000
14702,20041014,15.70000
14702,20041015,15.70000
14702,20041018,15.86000
14702,20041019,15.89000
14702,20041020,16.12000
14702,20041021,16.38000
14702,20041022,15.96000
14702,20041025,15.88000
14702,20041026,15.69000
14702,20041027,16.14000
14702,20041028,16.20000
14702,20041029,16.10000
14702,20041101,15.99000
14702,20041102,16.25000
14702,20041103,16.12000
14702,20041104,16.24000
14702,20041105,16.28000
14702,20041108,16.39000
14702,20041109,16.37000
14702,20041110,15.96000
14702,20041111,16.08000
14702,20041112,16.17000
14702,20041115,16.78000
14702,20041116,16.76000
14702,20041117,17.34000
14702,20041118,17.65000
14702,20041119,16.99000
14702,20041122,17.10000
14702,20041123,16.90000
14702,20041124,16.96000
14702,20041126,16.99000
14702,20041129,16.94000
14702,20041130,16.64000
14702,20041201,17.72000
14702,20041202,17.50000
14702,20041203,17.88530
14702,20041206,17.86000
14702,20041207,17.56000
14702,20041208,17.27000
14702,20041209,17.15000
14702,20041210,17.03000
14702,20041213,17.16000
14702,20041214,17.42000
14702,20041215,17.46000
14702,20041216,17.07000
14702,20041217,16.83700
14702,20041220,16.76000
14702,20041221,16.86000
14702,20041222,16.99000
14702,20041223,17.03000
14702,20041227,16.81000
14702,20041228,16.92000
14702,20041229,17.03000
14702,20041230,17.04000
14702,20041231,17.10000
14702,20050103,16.82000
14702,20050104,16.50000
14702,20050105,16.22000
14702,20050106,16.10000
14702,20050107,16.15000
14702,20050110,16.17000
14702,20050111,16.15000
14702,20050112,16.53000
14702,20050113,16.25000
14702,20050114,16.53000
14702,20050118,16.53000
14702,20050119,16.01000
14702,20050120,15.91000
14702,20050121,15.59000
14702,20050124,15.17000
14702,20050125,15.65000
14702,20050126,16.12000
14702,20050127,16.48000
14702,20050128,16.04000
14702,20050131,15.90000
14702,20050201,16.40000
14702,20050202,16.26000
14702,20050203,16.16000
14702,20050204,16.79000
14702,20050207,16.72000
14702,20050208,16.87000
14702,20050209,16.51000
14702,20050210,16.66000
14702,20050211,17.14000
14702,20050214,17.13000
14702,20050215,17.49000
14702,20050216,17.50000
14702,20050217,17.33000
14702,20050218,17.40000
14702,20050222,17.46000
14702,20050223,17.25000
14702,20050224,17.58000
