PERMNO,date,PRC
22779,20030910,10.69000
22779,20030911,10.96000
22779,20030912,10.84000
22779,20030915,10.70000
22779,20030916,10.93000
22779,20030917,10.64000
22779,20030918,11.13000
22779,20030919,11.09000
22779,20030922,12.06000
22779,20030923,12.30000
22779,20030924,12.26000
22779,20030925,12.53000
22779,20030926,12.53000
22779,20030929,12.30000
22779,20030930,11.95000
22779,20031001,12.13000
22779,20031002,12.20000
22779,20031003,12.28000
22779,20031006,13.50000
22779,20031007,14.06000
22779,20031008,13.67000
22779,20031009,13.73000
22779,20031010,13.79000
22779,20031013,13.87000
22779,20031014,13.57000
22779,20031015,13.78000
22779,20031016,13.70000
22779,20031017,13.48000
22779,20031020,13.20000
22779,20031021,13.42000
22779,20031022,13.22000
22779,20031023,13.48000
22779,20031024,13.25000
22779,20031027,13.07000
22779,20031028,13.39000
22779,20031029,13.87000
22779,20031030,13.75000
22779,20031031,13.53000
22779,20031103,13.84000
22779,20031104,13.95000
22779,20031105,13.90000
22779,20031106,13.95000
22779,20031107,14.19000
22779,20031110,13.48000
22779,20031111,13.32000
22779,20031112,13.65000
22779,20031113,13.31000
22779,20031114,13.22000
22779,20031117,13.00000
22779,20031118,12.77000
22779,20031119,13.23000
22779,20031120,13.29000
22779,20031121,13.40000
22779,20031124,13.56000
22779,20031125,13.45000
22779,20031126,13.88000
22779,20031128,14.04000
22779,20031201,14.13000
22779,20031202,14.05000
22779,20031203,13.67000
22779,20031204,13.37000
22779,20031205,13.35000
22779,20031208,13.17000
22779,20031209,12.79000
22779,20031210,12.55000
22779,20031211,13.02000
22779,20031212,13.08000
22779,20031215,12.79000
22779,20031216,13.33000
22779,20031217,13.17000
22779,20031218,13.40000
22779,20031219,13.22000
22779,20031222,13.49000
22779,20031223,13.62000
22779,20031224,13.69000
22779,20031226,13.76000
22779,20031229,14.04000
22779,20031230,13.91000
22779,20031231,14.00000
22779,20040102,14.50000
22779,20040105,15.05000
22779,20040106,15.02000
22779,20040107,15.06000
22779,20040108,15.73000
22779,20040109,15.71000
22779,20040112,16.20000
22779,20040113,16.32000
22779,20040114,16.35000
22779,20040115,16.31000
22779,20040116,16.95000
22779,20040120,17.05000
22779,20040121,16.81000
22779,20040122,16.71000
22779,20040123,16.77000
