PERMNO,date,PRC
25419,20030910,67.14000
25419,20030911,66.78000
25419,20030912,68.12000
25419,20030915,69.10000
25419,20030916,69.95000
25419,20030917,69.64000
25419,20030918,70.00000
25419,20030919,69.41000
25419,20030922,68.71000
25419,20030923,69.07000
25419,20030924,68.58000
25419,20030925,68.25000
25419,20030926,67.92000
25419,20030929,67.67000
25419,20030930,67.77000
25419,20031001,68.95000
25419,20031002,69.31000
25419,20031003,69.57000
25419,20031006,69.80000
25419,20031007,69.85000
25419,20031008,70.30000
25419,20031009,70.56000
25419,20031010,70.47000
25419,20031013,71.90000
25419,20031014,71.88000
25419,20031015,71.95000
25419,20031016,71.45000
25419,20031017,71.80000
25419,20031020,71.24000
25419,20031021,69.90000
25419,20031022,65.81000
25419,20031023,66.92000
25419,20031024,67.62000
25419,20031027,68.19000
25419,20031028,69.46000
25419,20031029,70.68000
25419,20031030,71.46000
25419,20031031,70.47000
25419,20031103,70.43000
25419,20031104,70.15000
25419,20031105,69.95000
25419,20031106,69.50000
25419,20031107,69.72000
25419,20031110,66.53000
25419,20031111,67.62000
25419,20031112,67.20000
25419,20031113,67.95000
25419,20031114,67.22000
25419,20031117,66.50000
25419,20031118,66.47000
25419,20031119,66.70000
25419,20031120,66.32000
25419,20031121,66.35000
25419,20031124,68.52000
25419,20031125,68.47000
25419,20031126,68.02000
25419,20031128,68.32000
25419,20031201,68.80000
25419,20031202,68.54000
25419,20031203,68.03000
25419,20031204,67.35000
25419,20031205,66.85000
25419,20031208,67.80000
25419,20031209,67.31000
25419,20031210,66.41000
25419,20031211,67.34000
25419,20031212,67.01000
25419,20031215,67.31000
25419,20031216,69.62000
25419,20031217,69.77000
25419,20031218,71.79000
25419,20031219,71.11000
25419,20031222,71.85000
25419,20031223,72.14000
25419,20031224,71.55000
25419,20031226,71.89000
25419,20031229,72.67000
25419,20031230,72.60000
25419,20031231,72.65000
25419,20040102,71.18000
25419,20040105,72.22000
25419,20040106,71.90000
25419,20040107,72.23000
25419,20040108,72.78000
25419,20040109,73.31000
25419,20040112,72.90000
25419,20040113,72.76000
25419,20040114,75.05000
25419,20040115,75.73000
25419,20040116,76.80000
25419,20040120,76.55000
25419,20040121,79.38000
25419,20040122,78.97000
25419,20040123,78.17000
25419,20040126,78.52000
25419,20040127,77.40000
25419,20040128,74.55000
25419,20040129,75.13000
25419,20040130,75.95000
25419,20040202,74.90000
25419,20040203,73.31000
25419,20040204,72.95000
25419,20040205,73.02000
25419,20040206,73.52000
25419,20040209,73.26000
25419,20040210,73.52000
25419,20040211,73.87000
25419,20040212,73.70000
25419,20040213,72.50000
25419,20040217,72.63000
25419,20040218,72.17000
25419,20040219,71.85000
25419,20040220,71.33000
25419,20040223,70.20000
25419,20040224,70.31000
25419,20040225,70.16000
25419,20040226,72.66000
25419,20040227,72.94000
25419,20040301,73.85000
25419,20040302,72.43000
25419,20040303,72.64000
25419,20040304,72.12000
